 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     1         0 …ors/src/structures.jl   169 insert!
     1         0 @Base/bitset.jl          248 push!
     1         0 @Base/bitset.jl           98 _setint!
     1         0 @Base/bitset.jl          118 _growbeg0!
     1         1 @Base/array.jl          1070 _growbeg!
     1         0 …ghbors/src/metrics.jl    35 macro expansion
     1         1 @Base/float.jl           409 +
     1         1 @Base/dict.jl            387 setindex!(h::Dict{SearchItem, Int…
     1         0 …ighbors/src/search.jl   105 _search_terminal_node!
     1         0 …ors/src/structures.jl   171 insert!
     1         0 @Base/dict.jl            698 delete!
     1         0 @Base/dict.jl            655 _delete!(h::Dict{SearchItem, Int6…
     1         0 @Base/dict.jl            161 isslotempty
     1         0 @Base/dict.jl            184 rehash!(h::Dict{SearchItem, Int64…
     1         0 …ors/src/structures.jl   164 insert!
     1         0 @Base/bitset.jl          323 in
     1         0 @Base/bitset.jl           59 _bits_getindex
     1         0 @Base/operators.jl       276 !=
     1         0 @Base/int.jl             524 ==
     1         1 @Base/promotion.jl       521 ==
     1         0 …ors/src/structures.jl   194 insert!
     1         0 @Base/bitset.jl          273 delete!
     1         0 @Base/bitset.jl          102 _setint!
     1         0 @Base/bitarray.jl        696 _unsafe_bitsetindex!
     1         1 @Base/array.jl          1021 setindex!
     1         0 …ghbors/src/metrics.jl    37 distance
     1         1 @Base/math.jl            687 sqrt
     1         0 …ighbors/src/search.jl    29 knn(tree::ATRIATree{Float64, Int6…
     1         0 …ors/src/structures.jl   206 finish_search
     1         1 @Base/array.jl           411 copy
     1         1 …/src/priorityqueue.jl   290 push!(pq::DataStructures.Priority…
     1         0 …/src/priorityqueue.jl   283 push!(pq::DataStructures.Priority…
     1         0 …/src/priorityqueue.jl   160 haskey
     1         0 @Base/dict.jl            569 haskey
     1         0 @Base/dict.jl            266 ht_keyindex(h::Dict{SearchItem, I…
     1         0 @Base/dict.jl            268 ht_keyindex(h::Dict{SearchItem, I…
     1         0 …Neighbors/src/tree.jl   254 assign_points_to_centers!(points:…
     1         0 …Neighbors/src/tree.jl   211 assign_points_to_centers!(points:…
     1         1 @Base/dict.jl              ? ht_keyindex2_shorthash!(h::Dict{S…
     1         1 @Base/dict.jl            312 ht_keyindex2_shorthash!(h::Dict{S…
     1         0 …ors/src/structures.jl   173 insert!
     1         0 @Base/dict.jl            185 rehash!(h::Dict{SearchItem, Int64…
     1         1 @Base/dict.jl            262 ht_keyindex(h::Dict{SearchItem, I…
     1         0 …Neighbors/src/tree.jl   246 assign_points_to_centers!(points:…
     1         0 …ors/src/structures.jl   181 insert!
     2         0 …ighbors/src/search.jl    57 _search_knn!(tree::ATRIATree{Floa…
     2         0 …ighbors/src/search.jl   129 _push_child_clusters!
     2         2 @Base/int.jl              83 <
     2         2 @Base/Base.jl             37 getproperty
     2         0 @Base/dict.jl            384 setindex!(h::Dict{SearchItem, Int…
     2         0 @Base/dict.jl            358 _setindex!
     2         2 @Base/boot.jl            477 Array
     2         0 @Base/simdloop.jl         76 macro expansion
     2         0 @Base/simdloop.jl         54 simd_index
     2         2 @Base/int.jl              87 +
     2         0 …/src/priorityqueue.jl   323 popfirst!(pq::DataStructures.Prio…
     2         0 @Base/dict.jl            696 delete!
     2         0 …Neighbors/src/tree.jl   210 assign_points_to_centers!(points:…
     2         0 …Neighbors/src/tree.jl   320 build_tree!(points::PointSet{Floa…
     2         0 …Neighbors/src/tree.jl   150 find_child_cluster_centers!(point…
     2         2 …ghbors/src/metrics.jl    37 distance(::EuclideanMetric, p1::S…
     2         1 @Base/simdloop.jl         75 macro expansion
     2         0 …rs/profile_minimal.jl    55 run_profiled_workload()
     2         0 …rs/profile_minimal.jl    34 simple_dataset
     2         0 …rs/profile_minimal.jl    35 #simple_dataset#1
     2         0 @Random/src/normal.jl    256 randn
